iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
81,0.183199945,100,20,600,900,100,150,71,381.1443192,5577.345935,0.068337938,1,0,0.014084507,0,0,1,2,Not in Compliance - Error
82,0.219581497,100,20,600,900,100,150,36,282.9695543,723.1954448,0.391276738,4,7,0.111111111,0.07,0,0,1,Not in Compliance - Correct
83,0.066356005,100,7,600,900,100,150,77,205.6692323,1288.693023,0.159595209,1,0,0.012987013,0,0,1,2,Not in Compliance - Error
84,0.1167323,100,10,600,900,100,150,86,298.8477788,3583.428791,0.083397159,0,0,0,0,1,1,4,Compliance - Correct
85,0.203255085,100,18,600,900,100,150,21,210.2271516,2505.798292,0.083896279,0,0,0,0,1,1,4,Compliance - Correct
86,0.157704775,100,18,600,900,100,150,84,298.596778,3174.077386,0.094073566,0,0,0,0,1,1,4,Compliance - Correct
87,0.160639421,100,16,600,900,100,150,33,274.7635609,3987.455929,0.068906984,0,0,0,0,1,1,4,Compliance - Correct
88,0.088645276,100,12,600,900,100,150,19,240.0561198,3728.813312,0.064378691,0,0,0,0,1,1,4,Compliance - Correct
89,0.108759173,100,6,600,900,100,150,49,208.4596812,5024.332112,0.041490028,0,0,0,0,1,1,4,Compliance - Correct
90,0.229370293,100,21,600,900,100,150,60,355.1136672,5340.470173,0.066494832,0,0,0,0,1,1,4,Compliance - Correct
91,0.194003175,100,18,600,900,100,150,26,342.0698646,3352.263758,0.102041453,0,0,0,0,1,1,4,Compliance - Correct
92,0.118169354,100,13,600,900,100,150,47,220.2612611,5454.008886,0.040385204,0,0,0,0,1,1,4,Compliance - Correct
93,0.10472542,100,13,600,900,100,150,32,295.4952775,2886.188914,0.102382514,0,0,0,0,1,1,4,Compliance - Correct
94,0.1874368,100,22,600,900,100,150,47,362.6790719,290.4663228,1.248609713,13,22,0.276595745,0.22,0,0,1,Not in Compliance - Correct
